"Clinic Name",Address,"Address 2",City,State,Zip,Phone
"Yale Fertility Center","150 Sargent Drive","2nd Floor","New Haven",CT,6511,
"CT Fertility","4920 Main Street","Suite 301",Bridgeport,CT,6606,203-373-1200
"Long Island IVF- Melville","8 Corporate Center Drive","Suite 101",Melville,NY,11747,631-752-0606
"Reproductive Medicine Associates of Connecticut","761 Main Avenue ","Suite 200",Norwalk,CT,6851,877-411-0142
"The Center for Advanced Reproductive Services","The University of Connecticut He","263 Farmington Avenue",Farmington,CT,6030,860-679-4580
"East Coast Fertility - Plainview","245 Newtown Road",,Plainview,NY,11803,
"Gold Coast IVF","243 Jericho Turnpike",,Syosset,NY,11791,516-682-8900
"The Stamford Hospital","Shelburne & West Broad Streets",,Stamford,CT,6904,203-329-7559
"New England Fertility Institute","1275 Summer Street","Suite 201",Stamford,CT,6905,203-325-3200
"Reproductive Specialists of New York LLP","200 Old Country Road","Suite 330",Mineola,NY,11501,516-739-2100
"The Center for Human Reproduction, North Shore-LIJ Health System","300 Community Drive",,Manhasset,NY,11030,"516-562-BABY (2229)"
"Westchester Fertility & Reproductive Endocrinology","136 South Broadway",,"White Plains",NY,10605,914-949-6677
"Baystate Reproductive Medicine","Baystate Medical Center, Divisio","759 Chestnut Street",Springfield,MA,1199,413-794-5608
"North Hudson IVF","385 Sylvan Avenue",,"Englewood Cliffs",NJ,7632,201-871-1999
"Advanced Fertility Services","1625 Third Avenue",,"New York",NY,10128,516-770-1818
"New York Fertility Institute","1016 Fifth Avenue",,"New York",NY,10028,212-734-5555
"Manhattan Reproductive Medicine","159 East 74th Street","Suite 1C","New York",NY,10021,212-794-0080
"New Hope Fertility Center","4 Columbus Circle","4th Floor","New York",NY,10019,212-517-7676
"Offices for Fertility & Reproductive Medicine PC","51 East 67th Street",,"New York",NY,10021,212-535-5350
"Westchester Reproductive Medicine","344 East Main Street Suite 403",,"Mt. Kisco",NY,10549,914-962-6300
"Women & Infants Center for Reproduction and Infertility","90 Plain Street",,Providence,RI,2905,401-453-7500
"Institute for Reproductive Medicine and Health","Montefiore Medical Center","141 South Central Avenue, Suite ",Hartsdale,NY,10530,914-997-1060
"Cornell Center for Reproductive Medicine","1305 York Avenue","6th Floor","New York",NY,10021,646-962-2762
"Center for Human Reproduction","21 East 69th Street",,"New York",NY,10021,212-994-4400
"Reproductive Medicine Associates of New York, LLP","635 Madison Avenue","10th Floor","New York",NY,10022,"2127565777 "
"American Fertility Services PC","115 East 57th Street","Suite 500","New York",NY,10022,212-750-3330
"Metropolitan Reproductive Medicine PC","422 West End Avenue",,"New York",NY,10024,212-580-2252
"NYU Fertility Center","660 First Ave at 38 Street","5th Floor","New York",NY,10016,212-263-8990
"Brooklyn/Westside Fertility Center","55 Central Park West",Suite1C,"New York",NY,10023,212-721-4545
"IVF New York","230 Central Park South","Suite 1F","New York",NY,10019,212-246-3381
"Continuum Reproductive Center of St Luke's Roosevelt Hospital","425 West 59th Street ","Suite 6A","New York",NY,10019,212-523-7751
"Center for Women's Reproductive Care at Columbia University","1790 Broadway, Second Floor",,"New York",NY,10019,646-872-1322
"Reproductive Care of N.Y.P.C.","330 West 58th Street","Suite 613","New York",NY,10019,212-247-3111
"Beth Israel Center for Infertility and Reproductive Health","10 Union Square East","Suite 2E","New York",NY,10003,212-844-8587
"Kofinas Fertility Institute at New York Methodist Hospital","506 Sixth Street",,Brooklyn,NY,11215,718-780-5065
"Fertility Institute of New Jersey and New York","400 Old Hook Road",,Westwood,NJ,7675,201-666-4200
"Genesis Fertility & Reproductive Medicine","6010 Bay Parkway","5th Floor",Brooklyn,NY,11204,718-283-8600
"The Valley Hospital Fertility Center","1 Valley Health Plaza",,Paramus,NJ,7652,201-634-5485
"University Reproductive Associates","214 Terrace Avenue",,"Hasbrouck Heights",NJ,7604,201-288-6330
"Hudson Valley Fertility, PLLC","841 Route 52",,Fishkill,NY,12524,845-765-0125
"Island Reproductive Services","1110 South Avenue","Suite 305","Staten Island",NY,10314,718-761-6000
