"Clinic Name",Address,"Address 2",City,State,Zip,Phone
"Reproductive Medicine Associates of Connecticut","761 Main Avenue ","Suite 200",Norwalk,CT,6851,877-411-0142
"Advanced Fertility Services","1625 Third Avenue",,"New York",NY,10128,516-770-1818
"Reproductive Medicine Associates of New York, LLP","635 Madison Avenue","10th Floor","New York",NY,10022,"2127565777 "
"Kofinas Fertility Institute at New York Methodist Hospital","506 Sixth Street",,Brooklyn,NY,11215,718-780-5065
"Fertility Institute of New Jersey and New York","400 Old Hook Road",,Westwood,NJ,7675,201-666-4200
"Genesis Fertility & Reproductive Medicine","6010 Bay Parkway","5th Floor",Brooklyn,NY,11204,718-283-8600
"Island Reproductive Services","1110 South Avenue","Suite 305","Staten Island",NY,10314,718-761-6000
"Morgan Fertility at Shore Institute for Reproductive Medicine - Shore IVF","475 Highway 70 West","Suite 201",Lakewood,NJ,8701,732-363-4777
"IVF New Jersey","81 Veronica Avenue",,Somerset,NJ,8873,732-220-9060
"Main Line Fertility & Reproductive Medicine","825 Old Lancaster Road","Suite 170","Bryn Mawr",PA,19010,610-527-0800
"Delaware Institute for Reproductive Medicine P.A.","4745 Ogletown-Stanton Road","Suite 111",Newark,DE,19713,302-738-4600
"University Hospitals Fertility Center-Beachwood","1000 Auburn Drive","Suite 300",Beachwood,OH,44122,216-285-5028
"Carolina Conceptions","2601 Lake Drive, Suite 301",,Raleigh,NC,27607,919-782-5911
"Piedmont Reproductive Endocrinology Group ","17 Caledon Court","Suite C",Greenville,SC,29615,864-232-7734
"Fertility Centers of Illinois - Chicago/River North IVF","900 North Kingsbury","Suite RW 6",Chicago,IL,60610,877-324-4483
"Fertility Centers of Illinois - Highland Park","767 Park Avenue West","Suite 190","Highland Park",IL,60035,877-324-4483
"The Fertility Center of Chattanooga","7407 Ziegler Road ",,Chattanooga,TN,37421,423-899-0500
"Georgia Reproductive Specialists","5445 Meridian Mark Road","Suite 270",Atlanta,GA,30342,404-843-2229
"Assisted Fertility Program of North Florida","3627 University Boulevard South,",,Jacksonville,FL,32216,904-398-1473
"IVFMD/ South Florida Institute for Reproductive Medicine","7300 SW 62nd Place","4th Floor",Miami,FL,33143,866-483-6366
"Center for Assisted Reproduction","1701 Park Place Avenue",,Bedford,TX,76022,817-540-1157
"Houston Fertility Specialists","7900 Fannin Street","Houston Medical Center",Houston,TX,77054,713-512-7900
"The Advanced Fertility Center of Texas","11301 Fallbrook Drive","Ste 202","Houston ",TX,77065,713-467-4488
"The Valley Center for Reproductive Health","13320 Riverside Drive",#220,"Sherman Oaks",CA,91423,818-986-1648
"Pacific Fertility Center-Los Angeles","10921 Wilshire Boulevard","Suite 700","Los Angeles",CA,90024,310-209-7700
"Stanford Medicine Fertility and Reproductive Health","900 Welch Road","Suite 350","Palo Alto",CA,94304,650-498-7911
"Fertility Centers of New England, LLC - Dedham","333 Elm Street","Suite 305",Dedham,MA,2026,1-877-FCNE-IVF
"Fertility Centers of New England, LLC - Bedford","169 South River Road","Suite 11",Bedford,NH,3110,1-877-FCNE-IVF
"Fertility Centers of New England, LLC - Portsmouth","875 Greenland Road, Building C, ",,Portsmouth,NH,3801,1-877-FCNE-IVF
"Fertility Centers of New England, LLC - Westborough","33 Lyman Street","Suite 302",Westborough,MA,1581,1-877-FCNE-IVF
"Fertility Centers of New England, LLC - Danvers","480 Maple Street",,Danvers,MA,1923,1-877-FCNE-IVF
"Fertility Centers of Illinois - Buffalo Grove","135 N. Arlington Heights Rd","Suite 195","Buffalo Grove",IL,60089,877-324-4483
"Fertility Centers of Illinois - Crystal Lake","5911 Northwest Highway, Ste 105",,"Crystal Lake",IL,60014,"8153567034 "
"Fertility Centers of Illinois - Glenview","3703 W. Lake Avenue","Suite 106",Glenview,IL,60026,877-324-4483
"Fertility Centers of Illinois - Hoffman Estates","2260 W. Higgins Rd Ste 200",,"Hoffman Estates",IL,60169,847.843.1510
